,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
211,4/30/17,42928,125305,215455,2921,340
212,5/1/17,56218,136675,215724,1813,311
213,5/2/17,61205,142585,216017,1827,309
214,5/3/17,59251,141936,216239,1537,247
215,5/4/17,57428,144583,216436,1626,239
216,5/5/17,24009,58278,216535,355,52
217,5/6/17,46616,127879,216768,3349,363
218,5/7/17,34293,90625,216928,1921,196
219,5/8/17,51553,114260,217147,1230,253
220,5/9/17,56461,118257,217341,1179,199
221,5/10/17,58452,136080,217512,1362,225
222,5/11/17,57208,135699,217673,1313,205
223,5/12/17,56671,132477,217840,1784,189
224,5/13/17,5704,28193,217905,117,0
225,5/14/17,38729,114819,218120,2664,222
226,5/15/17,54715,129870,218356,1279,185
227,5/16/17,64504,157411,218690,1850,283
228,5/17/17,65791,153500,219023,1864,241
229,5/18/17,63753,149837,219304,1929,270
230,5/19/17,62143,145832,219564,2310,275
231,5/20/17,47858,135405,219776,3486,251
232,5/21/17,54873,160019,220097,4903,287
233,5/22/17,24627,61049,220269,218,22
234,5/23/17,60024,139680,220513,1579,224
235,5/24/17,60621,135482,220735,1558,153
236,5/25/17,17494,50743,220840,143,27
237,5/26/17,53763,133402,221049,2224,306
238,5/27/17,46533,145924,221271,4590,511
239,5/28/17,46724,151063,221515,5229,374
240,5/29/17,26321,75825,221745,1149,77
241,5/30/17,50192,114629,222057,962,204
242,5/31/17,59494,142097,222764,1596,197
243,6/1/17,67404,163063,222977,1957,289
244,6/2/17,66905,157299,223162,2315,357
245,6/3/17,56263,155712,223356,4627,356
246,6/4/17,40138,100571,223520,2270,103
247,6/5/17,55882,123795,223719,1286,204
248,6/6/17,41268,86679,223834,523,89
249,6/7/17,64452,149853,223969,1536,258
250,6/8/17,62652,132716,224131,1631,266
251,6/9/17,66504,156787,224289,2513,313
252,6/10/17,57086,150903,224455,4764,296
253,6/11/17,51427,140711,224654,3941,179
254,6/12/17,57870,133564,224889,1561,201
255,6/13/17,60920,129444,225078,1407,179
256,6/14/17,60510,137988,225231,1573,218
257,6/15/17,64761,144513,225430,1885,227
258,6/16/17,56401,128201,225556,1507,177
259,6/17/17,34899,83755,225683,2243,209
260,6/18/17,49469,138414,225864,3730,295
261,6/19/17,38308,88057,226025,878,158
262,6/20/17,64670,146794,226220,1781,215
263,6/21/17,67215,154525,226394,1666,258
264,6/22/17,66304,158453,226589,1818,260
265,6/23/17,55321,129797,226695,1585,205
266,6/24/17,52150,141282,226849,4277,314
267,6/25/17,54645,158625,227015,4527,256
268,6/26/17,62661,145321,227211,2024,297
269,6/27/17,64762,151112,227418,1697,229
270,6/28/17,67740,159263,227679,1893,208
271,6/29/17,64260,146419,227855,1703,210
272,6/30/17,58660,132583,228047,2024,293
273,7/1/17,36737,107126,228157,2828,372
274,7/2/17,43035,128397,228306,4314,458
275,7/3/17,48193,130240,228473,3243,316
276,7/4/17,49924,146441,228669,4929,315
277,7/5/17,60321,149487,228908,1886,267
278,7/6/17,62147,140767,229085,1646,264
279,7/7/17,44068,103656,229241,1283,216
280,7/8/17,55015,146438,229453,4138,333
281,7/9/17,57118,159914,229680,4471,340
282,7/10/17,60908,141463,229933,1546,359
